name,address,website
Eleven Madison Park,"11 Madison Ave., New York 10010",http://www.elevenmadisonpark.com
Le Bernardin,"155 W. 51st St., New York 10019",http://www.le-bernardin.com
Per Se,"10 Columbus Circle, New York 10019",http://www.perseny.com
Masa,"10 Columbus Circle, New York 10019",http://www.masanyc.com
Quince,"470 Pacific Ave., San Francisco 94133",http://www.quincerestaurant.com
The French Laundry,"6640 Washington St., Yountville 94599",http://www.thomaskeller.com
Manresa,"320 Village Ln., Los Gatos 95030",http://www.manresarestaurant.com
The Restaurant at Meadowood,"900 Meadowood Ln., St. Helena 94574",http://www.therestaurantatmeadowood.com
Saison,"178 Townsend St., San Francisco 94107",http://www.saisonsf.com
Atelier Crenn,"3127 Fillmore St., San Francisco 94123",http://www.ateliercrenn.com
Benu,"22 Hawthorne St., San Francisco 94105",http://www.benusf.com
Chef's Table at Brooklyn Fare,"431 W. 37th St., New York 10018",http://www.brooklynfare.com
SingleThread,"131 North St., Healdsburg 95448",http://www.singlethreadfarms.com
The Inn at Little Washington,"309 Middle St., Washington 22747",http://www.theinnatlittlewashington.com
Alinea,"1723 N. Halsted St., Chicago 60614",http://www.alinearestaurant.com